name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 109749 b,Confirmed,0.28,0.016,0.016,0.28,0.016,0.016,0.99,,,5.23921,0.000935533,0.000935533,0.0635,,,0.0451,0.025,0.451,,,,0.001076,2005,2015-02-27,72.3,55.8,55.8,2453426.3,,,,,,,,,,,,,,,,,,3013.55,0.14,0.14,28.49,1.12,1.12,,,,,,,,,,Announced on a professional conference,Radial Velocity,Radial Velocity,Theoretical,,,HD 109749,189.3166667,-40.8119444,8.1,,,,,59,,,0.25,0.05,0.05,1.2,0.1,0.1,,,,G3 IV,10.3,2.9,2.9,5610,,,,,
HD 110014 b,Confirmed,10.7,1,1,10.7,1,1,,,,882.6,21.5,21.5,2.31,0.04,0.04,0.26,0.1,0.1,,,,0.023778,2009,2016-09-03,47.72,15.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 110014,189.8083333,-7.9955556,4.66,,,,,90,2.3,2.3,0.19,0.05,0.05,2.17,0.28,0.28,20.9,1.1,1.1,K2III,0.95,0.4,0.4,4445,70,70,,,
HD 110014 c,Confirmed,3.1,0.4,0.4,3.1,0.4,0.4,,,,130,0.9,0.9,0.64,0.003,0.003,0.44,0.2,0.2,,,,,2015,2016-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 110014,189.8083333,-7.9955556,4.66,,,,,90,2.3,2.3,0.19,0.05,0.05,2.17,0.28,0.28,20.9,1.1,1.1,K2III,0.95,0.4,0.4,4445,70,70,,,
HD 111232 b,Confirmed,6.8,,,6.8,,,,,,1143,14,14,1.97,,,0.2,0.01,0.01,,,,0.067931,2004,2010-12-29,98,6,6,51230,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 111232,192.2125,-68.425,7.61,,,,,29,,,-0.36,0.04,0.04,0.78,,,,,,G8V,5.2,,,5494,,,,,
HD 113337 b,Confirmed,2.83,0.24,0.24,2.83,0.24,0.24,,,,324,1.7,3.3,0.92,0.09,0.09,0.46,0.04,0.04,,,,,2013,2014-07-10,219.2,3.7,3.7,2456074.5,2.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 113337,195.4458,63.6103,6,,,,,36.9,0.4,0.4,0.07,,,1.4,0.14,0.14,1.5,0.15,0.15,,0.15,0.05,0.1,6577,16,16,,,
HD 113538 b,Confirmed,0.36,0.04,0.04,0.36,0.04,0.04,,,,663.2,8.4,7.4,1.24,0.04,0.04,0.14,0.08,0.08,,,,,2010,2015-01-08,74,37,29,2455500,17,17,,,,,,,,,,,,,,,,,,,12.2,1.1,1.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 113538,196.2375,-52.4430556,9.06,,,,,15.8,0.4,0.4,-0.24,0.06,0.06,0.585,0.05,0.05,0.53,0.02,0.02,K9V,4.3,4,4,4462,145,145,,,
HD 113538 c,Confirmed,0.93,0.06,0.06,0.93,0.06,0.06,,,,1818,25,25,2.44,0.07,0.07,0.2,0.04,0.04,,,,0.153797,2010,2015-01-08,280,16,16,2456741,31,31,,,,,,,,,,,,,,,,,,,22.6,0.8,0.8,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 113538,196.2375,-52.4430556,9.06,,,,,15.8,0.4,0.4,-0.24,0.06,0.06,0.585,0.05,0.05,0.53,0.02,0.02,K9V,4.3,4,4,4462,145,145,,,
HD 114386 b,Confirmed,1.24,,,1.24,,,,,,937,15.6,15.6,1.02,,,0.23,0.03,0.03,,,,0.058929,2003,2012-07-24,273,14,14,50454,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 114386,197.6625,-35.0547222,8.73,,,,,28,,,0,,,0.75,,,0.76,,,K3 V,2.19,,,4819,,,,,
HD 114386 c,Confirmed,1.19,,,1.19,,,,,,1046,,,,,,0.06,,,,,,,2011,2011-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 114386,197.6625,-35.0547222,8.73,,,,,28,,,0,,,0.75,,,0.76,,,K3 V,2.19,,,4819,,,,,
HD 114613 b,Confirmed,0.48,0.04,0.04,0.48,0.04,0.04,,,,3827,105,105,5.16,0.13,0.13,0.25,0.08,0.08,,,,,2014,2014-01-23,244,5,5,2455550.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 114613,198.012500001,-36.196944426,4.85,,,,,20.67,0.13,0.13,0.18,,,1.364,,,,,,G3-4,,,,5729,17,17,,,
HD 114729 b,Confirmed,0.84,,,0.84,,,,,,1135,9,9,2.08,,,0.32,0.18,0.18,,,,0.059429,2002,2016-01-15,73,30,30,2450520,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 114729,198.1833333,-31.8733333,6.69,,,,,35,,,-0.22,,,0.93,,,1.46,,,G3 V,4.58,,,5662,,,,,
HD 114762 b,Confirmed,10.98,0.09,0.09,10.98,0.09,0.09,,,,83.9151,0.003,0.003,0.353,0.001,0.001,0.3354,0.0048,0.0048,,,,0.008946,1989,2016-01-10,201.28,1.01,1.01,2449889.106,0.186,0.186,,,,2455326.665,0.242,0.242,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 114762,198.0791667,17.5169444,7.3,,,,,39.46,2.86,2.86,-0.71,0.08,0.08,0.84,,,1.24,0.1,0.1,F9V,11.8,3.9,3.9,5934,80,80,,,
HD 114783 b,Confirmed,6.3,3,27,1.1,0.06,0.06,,,,493.7,1.8,1.8,1.16,0.019,0.019,0.144,0.032,0.032,10,8,8,0.058824,2001,2016-01-22,86,11,11,2453806,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 114783,198.1791667,-2.265,7.57,,,,,20.4,,,0.33,,,0.92,,,0.78,,,K0,3.7,,,5105,,,,,
HD 11506 b,Confirmed,3.44,0.47,0.9,3.44,0.47,0.9,,,,1270,95,95,2.43,0.12,0.12,0.22,0.12,0.12,,,,0.045151,2007,2009-02-24,4.5,0.7,0.7,13666.3,102,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 11506,28.2125,-19.5069444,7.51,,,,,53.82,,,0.31,0.03,0.03,1.19,0.1,0.1,1.38,0.15,0.15,G0V,5.4,1.6,1.6,6058,51,51,,,
HD 11506 c,Confirmed,0.82,0.5,0.31,0.82,0.5,0.31,,,,170.46,6,6,0.639,0.017,0.017,0.42,0.42,0.42,,,,0.011873,2009,2009-02-24,4.1,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 11506,28.2125,-19.5069444,7.51,,,,,53.82,,,0.31,0.03,0.03,1.19,0.1,0.1,1.38,0.15,0.15,G0V,5.4,1.6,1.6,6058,51,51,,,
HD 116029 b,Confirmed,2.1,0.2,0.2,2.1,0.2,0.2,,,,670.2,8.3,8.3,1.73,0.04,0.04,0.21,inf,nan,,,,0.014042,2011,2011-09-02,360,100,100,2455220,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 116029,200.1666667,24.6486111,8.04,,,,,123.2,9.9,9.9,0.18,0.03,0.03,1.58,0.11,0.11,4.6,0.1,0.1,K1III,2.7,0.5,0.5,4951,44,44,,,
HD 117207 b,Confirmed,2.06,,,2.06,,,,,,2627.08,63.51,63.51,3.78,,,0.16,0.05,0.05,,,,0.114545,2004,2010-12-31,81.7,19.9,19.9,2450666.43,148.89,148.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 117207,202.3375,-35.5708333,7.26,,,,,33,,,0.27,,,1.07,,,1.09,,,G8VI/V,6.68,2.2,2.2,5432,,,,,
HD 11755 b,Confirmed,6.5,1,1,6.5,1,1,,,,433.7,3.2,3.2,1.08,0.04,0.04,0.19,0.1,0.1,,,,,2015,2015-10-01,155.3,12.6,12.6,2457018.2,14,14,,,,,,,,,,,,,,,,,,,191.3,10.2,10.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 11755,29.70833335,73.152500005,6.87,,,,,231.5,,,-0.74,0.02,0.02,0.9,0.1,0.1,27.3,1,1,G5,10.2,1.3,1.3,4312.5,5,5,,,
HD 117618 b,Confirmed,0.178,0.02,0.02,0.178,0.02,0.02,,,,25.827,0.02,0.02,0.176,0.01,0.01,0.42,0.02,0.02,,,,0.004632,2004,2016-01-15,245,19,19,2450832.2,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 117618,203.1041667,-47.2711111,7.18,,,,,38,,,0.04,,,1.05,,,1.19,,,G2V,3.88,,,5861,,,,,
HD 117618 c,Confirmed,0.2,0.1,0.1,0.2,0.1,0.1,,,,318,2,2,0.93,0.01,0.01,0,0.26,0.26,,,,,2013,2013-07-04,360,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 117618,203.1041667,-47.2711111,7.18,,,,,38,,,0.04,,,1.05,,,1.19,,,G2V,3.88,,,5861,,,,,
HD 118203 b,Confirmed,2.14,,,2.14,,,1.05,,,6.13322,0.00129898,0.00129898,0.07,,,0.2943,0.0298,0.0342,,,,0.00079,2005,2015-08-17,332.7,5.5,5.5,2453351.2,,,,,,,,,,,,,,,,,,,,,213.75,6.67,6.67,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Theoretical,,,HD 118203,203.5083333,53.7283333,8.05,,,,,88.6,,,0.1,0.05,0.05,1.23,0.03,0.03,,,,K0,4.6,0.8,0.8,5600,150,150,,,
HD 119445 b,Confirmed,37.6,2.6,2.6,37.6,2.6,2.6,,,,410.2,0.6,0.6,1.71,0.06,0.06,0.082,0.007,0.007,,,,,2009,2016-08-21,,,,,,,,,,,,,,,,,,,,,,,,,413.5,2.6,2.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 119445,205.620027843,41.6742842694,6.304,,,,,,,,0.04,0.18,0.18,3.9,0.4,0.4,20.5,9.3,9.3,G6,,,,5083,103,103,,,
HD 11964 b,Confirmed,0.622,0.056,0.056,0.622,0.056,0.056,,,,1945,26,26,3.16,0.19,0.19,0.041,0.017,0.017,,,,0.092996,2005,2014-02-13,155,,,2454170,380,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 11964,29.2875,-10.2422222,6.42,,,,,33.98,,,0.17,,,1.125,,,2.18,0.29,0.29,G5,9.56,,,5248,,,,,
HD 11964 c,Confirmed,0.079,0.01,0.01,0.079,0.01,0.01,,,,37.91,0.041,0.041,0.229,0.013,0.013,0.3,0.17,0.17,,,,0.006739,2005,2014-02-13,102,,,2454370,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 11964,29.2875,-10.2422222,6.42,,,,,33.98,,,0.17,,,1.125,,,2.18,0.29,0.29,G5,9.56,,,5248,,,,,
HD 11977 b,Confirmed,6.29,0.7,0.7,6.29,0.7,0.7,,,,711,8,8,1.89,0.11,0.1,0.4,0.07,0.07,,,,0.029023,2005,2016-01-21,351.5,9.5,9.5,2451420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 11977,28.7333333,-67.6472222,4.7,,,,,66.5,2.1,2.1,-0.21,0.1,0.1,1.91,0.21,0.21,13,,,G8.5 III,1.25,0.75,0.75,4975,,,,,
HD 120084 b,Confirmed,4.5,,,4.5,,,,,,2082,35,24,4.3,,,0.66,0.1,0.14,,,,,2013,2014-05-25,117,9,12,2450774,61,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 120084,205.7167,78.0617,5.91,,,,,97.7,4.7,4.7,0.09,0.05,0.05,2.39,0.3,0.06,9.12,0.61,0.65,G7 III,,,,4892,22,22,,,
HD 121504 b,Confirmed,1.22,,,1.22,,,,,,63.33,0.03,0.03,0.33,,,0.03,0.01,0.01,,,,0.007437,2003,2009-10-06,265,12,12,51450,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 121504,209.3208333,-56.04,7.54,,,,,44.37,,,0.16,,,1.18,,,,,,G2 V,1.62,,,6075,,,,,
HD 122562 b,Confirmed,24,2,2,24,2,2,,,,2777,81,104,4.1,0.2,0.2,0.71,0.01,0.01,,,,,2016,2016-02-10,306.1,1.3,1.3,2455935,2,2,,,,,,,,,,,,,,,,,,,445,12,12,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 122562,210.587500007,20.881388918,7.69,,,,,53.8,,,0.31,0.04,0.04,1.13,0.13,0.13,,,,G5,,,,4958,67,67,,,
HD 12484 b,Confirmed,2.98,0.14,0.14,2.98,0.14,0.14,,,,58.83,0.08,0.08,0.297,0.005,0.005,0.07,0.03,0.03,,,,,2016,2016-02-17,325,40,40,2456699,5,5,,,,,,,,,,,,,,,,,,,155,5,5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 12484,30.612500009,2.815833362,8.17,,,,,51.1,2.5,2.5,0.05,0.02,0.02,1.01,0.03,0.03,,,,F8,,,,5920,30,30,,,
HD 125595 b,Confirmed,0.042,0.004,0.004,0.042,0.004,0.004,,,,9.6737,0.0039,0.0039,0.0809,0.0014,0.0014,0,,,,,,0.002953,2009,2011-07-05,,,,,,,,,,,,,,,,,,,,,,2454435.23,0.15,0.15,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 125595,215.3458333,-40.3938889,9.03,,,,,27.4,0.9,0.9,0.02,0.06,0.06,0.756,0.017,0.017,,,,K4V,3.53,3.53,3.53,4908,,,,,
HD 125612 b,Confirmed,3,,,3,,,,,,502,14,14,1.37,,,0.46,0.01,0.01,,,,0.025937,2007,2010-12-06,41.5,1.7,1.7,54894.9,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897,40,40,,,
HD 125612 c,Confirmed,0.058,,,0.058,,,,,,4.1547,0.0005,0.0005,0.05,,,0.27,0.12,0.12,,,,0.000947,2009,2010-12-06,103,23,23,54420.17,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897,40,40,,,
HD 125612 d,Confirmed,7.2,,,7.2,,,,,,3008,202,202,4.2,,,0.28,0.12,0.12,,,,0.079515,2009,2010-12-06,284,8,8,57174,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897,40,40,,,
HD 12648 b,Confirmed,2.9,0.4,0.4,2.9,0.4,0.4,,,,133.6,0.5,0.5,0.54,0.02,0.02,0.04,0.16,0.16,,,,,2015,2015-10-01,99.3,140.7,140.7,2452324.7,57.6,57.6,,,,,,,,,,,,,,,,,,,102,8.4,8.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 12648,34.75,85.736111128,6.98,,,,,158.4,9,9,-0.57,0.02,0.02,1.2,0.1,0.1,9.2,0.6,0.6,G5,4.5,1,1,4835.8,7.5,7.5,,,
HD 126525 b,Confirmed,0.224,0.0182,0.0182,0.224,0.0182,0.0182,,,,948.12,21.966,21.966,1.8105,0.0411,0.0411,0.13,0.07,0.07,,,,0.04752,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 126525,216.8875,-51.9330556,7.85,,,,,38.1,1,1,,,,,,,,,,G4V,,,,,,,,,
HD 12661 b,Confirmed,2.3,,,2.3,,,,,,263.6,1.2,1.2,0.83,,,0.377,0.008,0.008,,,,0.022336,2000,2014-02-13,296,1.5,1.5,2454152.76,0.87,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 12661,31.1416667,25.4141667,7.44,,,,,37.16,,,0.29,0.05,0.05,1.07,,,1.12,,,G6 V,7.05,,,5742,,,,,
HD 12661 c,Confirmed,1.57,,,1.57,,,,,,1708,14,14,2.56,,,0.031,0.022,0.022,,,,0.068891,2002,2014-02-13,165,,,2446153.76,87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 12661,31.1416667,25.4141667,7.44,,,,,37.16,,,0.29,0.05,0.05,1.07,,,1.12,,,G6 V,7.05,,,5742,,,,,
HD 126614 b,Confirmed,0.38,0.04,0.04,0.38,0.04,0.04,,,,1244,17,17,2.35,0.02,0.02,0.41,0.1,0.1,,,,0.032459,2010,2014-08-30,243,19,19,2453808,52,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 126614,216.7,-5.1777778,8.81,,,,,72.4,5.3,5.3,0.56,0.04,0.04,1.145,0.03,0.03,1.09,0.06,0.06,K0,7.2,2,2,5585,44,44,,,
HD 128311 b,Confirmed,2.18,0.022,0.022,2.18,0.022,0.022,,,,448.6,6.8,6.8,1.099,0.04,0.04,0.25,0.1,0.1,,,,0.066205,2002,2011-01-04,110.9,36,36,2450210.9,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 128311,219,9.7463889,7.51,,,,,16.6,,,0.08,,,0.84,,,0.73,,,K0V,0.39,,,4965,,,IR Excess,,
HD 128311 c,Confirmed,4.19,0.83,1.27,3.21,0.3,0.3,,,,919,,,1.76,0.13,0.13,0.17,0.09,0.09,50,10,10,0.106024,2005,2011-05-11,195.5,150,150,2450012.2,401,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 128311,219,9.7463889,7.51,,,,,16.6,,,0.08,,,0.84,,,0.73,,,K0V,0.39,,,4965,,,IR Excess,,
HD 128356 b,Confirmed,0.89,0.07,0.07,0.89,0.07,0.07,,,,298.2,1.6,1.6,0.87,0.03,0.03,0.57,0.08,0.08,,,,,2016,2016-04-02,84,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,36.9,1.2,1.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 128356,219.270833335,-25.802500018,8.29,,,,,26.03,0.52,0.52,0.17,0.1,0.1,0.65,0.05,0.05,0.85,0.02,0.02,K3V,10,5,5,4875,100,100,,,
HD 129445 b,Confirmed,1.6,0.6,0.6,1.6,0.6,0.6,,,,1840,55,55,2.9,0.2,0.2,0.7,0.1,0.1,,,,0.042893,2010,2014-08-27,163,15,15,2453093,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 129445,221.5125,-68.7625,8.8,,,,,67.61,5.1,5.1,0.25,,,0.99,,,,,,G8V,,,,,,,,,
HD 130322 b,Confirmed,1.05,0.0312,0.773,1.02,,,,,,10.72,0.07,0.07,0.088,,,0.044,0.018,0.018,76,42,42,0.002933,1999,2010-12-08,203.63,23.14,23.14,51287.38,0.68,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 130322,221.8875,0.2813889,8.05,,,,,30,,,-0.02,,,0.79,,,0.83,,,K0 V,0.35,,,5330,,,IR Excess,,
HD 131496 b,Confirmed,2.2,0.2,0.2,2.2,0.2,0.2,,,,883,29,29,2.09,0.07,0.07,0.163,0.073,0.073,,,,0.019,2011,2011-09-02,22,40,40,2456040,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 131496,223.3458333,18.2352778,7.96,,,,,110,9.4,9.4,0.25,0.03,0.03,1.61,0.11,0.11,4.6,0.1,0.1,K0,2.7,0.5,0.5,4927,44,44,,,
HD 13189 b,Confirmed,14,6,6,14,6,6,,,,471.6,6,6,1.85,0.35,0.35,0.27,0.06,0.06,,,,0.01,2005,2012-08-10,160.7,12,12,2455327.9,20.2,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 13189,32.4166667,32.3163889,7.57,,,,,185,,,,,,4.5,2.5,2.5,50.39,20.51,20.51,K2 II,,,,,,,,,
HD 132406 b,Confirmed,5.61,,,5.61,,,,,,974,39,39,1.98,,,0.34,0.09,0.09,,,,0.027887,2007,2007-10-31,214,19,19,53474,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 132406,224.2291667,53.3822222,8.45,,,,,71,3.5,3.5,0.18,0.05,0.05,1.09,0.05,0.05,,,,G0V,6.4,0.8,0.8,5885,50,50,,,
HD 132563 B b,Confirmed,1.49,0.09,0.09,1.49,0.09,0.09,,,,1544,34,34,2.62,0.04,0.04,0.22,0.09,0.09,,,,0.027292,2011,2016-02-23,158,35,35,2452593,148,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 132563B,224.5875,44.0433333,9.47,,,,,96,13,13,-0.19,0.1,0.1,1.01,0.01,0.01,,,,,5,,,5985,100,100,,,
HD 133131 A b,Confirmed,1.43,0.04,0.04,1.43,0.04,0.04,,,,649,3,3,1.44,0.005,0.005,0.32,0.03,0.03,,,,,2016,2016-08-24,,,,,,,,,,,,,,,,,,,,,,,,,36.68,0.93,0.93,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 133131 A,225.899193804,-27.8409866895,8.4,,,,,47,,,-0.306,0.016,0.016,0.95,,,,,,G2V,9.7,,,5799,19,19,,,
HD 133131 A c,Confirmed,0.48,0.14,0.14,0.48,0.14,0.14,,,,3407,970,970,4.36,0.82,0.82,0.47,0.22,0.22,,,,,2016,2016-08-24,,,,2452277,1171,1171,,,,,,,,,,,,,,,,,,,7.57,2.1,2.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 133131 A,225.899193804,-27.8409866895,8.4,,,,,47,,,-0.306,0.016,0.016,0.95,,,,,,G2V,9.7,,,5799,19,19,,,
HD 133131 B b,Confirmed,2.5,0.05,0.05,2.5,0.05,0.05,,,,6119,831,831,,,,0.62,0.04,0.04,,,,,2016,2016-08-24,,,,2450298,,,,,,,,,,,,,,,,,,,,,37.29,0.65,0.65,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 133131 B,225.899193804,-27.8409866895,8.42,,,,,47,,,-0.281,0.013,0.013,0.93,,,,,,G2,9.7,,,5805,15,15,,,
HD 134060 b,Confirmed,0.0351,0.0021,0.0021,0.0351,0.0021,0.0021,,,,3.27,0.0002,0.0002,0.0444,0.0007,0.0007,0.4,0.04,0.04,,,,0.001835,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 134060,227.6875,-61.4222222,6.29,,,,,24.2,0.25,0.25,,,,,,,,,,G0V,,,,,,,,,
HD 134060 c,Confirmed,0.1507,0.071,0.071,0.1507,0.071,0.071,,,,1160.9,27.046,27.046,2.2263,0.0507,0.0507,0.75,0.19,0.19,,,,0.091996,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 134060,227.6875,-61.4222222,6.29,,,,,24.2,0.25,0.25,,,,,,,,,,G0V,,,,,,,,,
HD 134113 b,Confirmed,47,3,3,47,3,3,,,,201.68,0.004,0.004,0.638,0.01,0.01,0.0891,0.002,0.002,,,,,2016,2016-02-10,163,0.2,0.2,2456808.54,0.05,0.05,,,,,,,,,,,,,,,,,,,3965,46,55,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 134113,226.945833349,8.87972225,8.26,,,,,71.9,,,-0.74,0.02,0.02,0.81,0.01,0.01,,,,F9V,,,,5782,22,22,,,
HD 134606 b,Confirmed,0.0292,0.003,0.003,0.0292,0.003,0.003,,,,12.083,0.0096,0.0096,0.1023,0.0017,0.0017,0.15,0.1,0.1,,,,0.00386,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 134606,228.8125,-70.5197222,6.85,,,,,26.5,0.4,0.4,,,,,,,,,,G6IV,,,,,,,,,
HD 134606 c,Confirmed,0.0382,0.0048,0.0048,0.0382,0.0048,0.0048,,,,59.519,0.1746,0.1746,0.2962,0.0049,0.0049,0.29,0.2,0.2,,,,0.011177,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 134606,228.8125,-70.5197222,6.85,,,,,26.5,0.4,0.4,,,,,,,,,,G6IV,,,,,,,,,
